lp	wojewodztwo	woj	powiat	pow	gmina	gmi	miasto	lok	ubiegal	operator	odpowiedz	termininw	innaodp	data
148	MAŁOPOLSKIE	12	myślenicki	9	Myślenice (gmina miejsko-wiejska)	3	Myślenice	Okulickiego	2	0	0	0		2012-10-09 15:09
149	WIELKOPOLSKIE	30	kaliski	7	Opatówek (gmina wiejska)	8	Porwity		1	1	1	0		2012-10-09 15:14
150	POMORSKIE	22	starogardzki	13	Starogard Gdański (gmina wiejska)	12	Nowa Wieś Rzeczna	Os. Witosa 13	1	2	3	0	"przyczym  dla UPC faktycznie w okolicy nie ma przyłączeń natomiast dla TP SA ""brak możliwości technicznych"" to niechęć do przyciągnięcia nam 50m kabla od ostatniego słupka gdzie byłaby wolna para"	2012-10-09 15:17
151	MAZOWIECKIE	14	siedlecki	26	Suchożebry (gmina wiejska)	10	Borki siedleckie		1	1	1	0		2012-10-09 15:22
152	MAZOWIECKIE	14	pruszkowski	21	Raszyn (gmina wiejska)	6	Dawidy Bankowe	Bankowa - cała ulica	1	3	1	0		2012-10-09 15:23
153	PODLASKIE	20	bielski	3	Bielsk Podlaski (gmina wiejska)	3	Mokre		1	1	1	0		2012-10-09 15:27
154	MAZOWIECKIE	14	miński	12	Sulejówek (gmina miejska)	15	Sulejówek	Francuska	1	2	1	0		2012-10-09 15:30
155	LUBELSKIE	6	rycki	16	Dęblin (gmina miejska)	1	Stawy		1	3	3	0	Telekomunikacja Kolejowa - brak portów na centrali mimo, iż okablowanie jest zainstalowane w blokah.	2012-10-09 15:35
156	MAZOWIECKIE	14	legionowski	8	Nieporęt (gmina wiejska)	3	Rynia		1	3	1	0		2012-10-09 15:42
157	MAŁOPOLSKIE	12	olkuski	12	Wolbrom (gmina miejsko-wiejska)	7	Zarzecze	Krótka	1	2	1	0		2012-10-09 15:42
158	DOLNOŚLĄSKIE	2	wrocławski	23	Siechnice (gmina miejsko-wiejska)	8	Kotowice		1	5	1	0		2012-10-09 15:46
159	ZACHODNIOPOMORSKIE	32	policki	11	Dobra (Szczecińska) (gmina wiejska)	1	Kościno	Żurawia	1	2	1	0		2012-10-09 15:49
